variant,mIoU,delta_mIoU,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
phrd_s8_pred_agreement_low_thr0p9_a0p1,0.7787688611382638,-3.7870436497500215e-05,0.6817359935145785,-0.00010990791056475491,0.4075503668187012,-4.0272024851906174e-05,0.43940956990387675,0.001590806104838971
phrd_s8_pred_agreement_low_thr0p7_a0p1,0.7787628641649942,-4.3867409767139875e-05,0.6817931217112692,-5.2779713874073764e-05,0.40768706317290043,9.642432934731104e-05,0.43816102814280616,0.00034226434376838366
phrd_s4_mean_conf_low_thr0p7_a1p0,0.7787553861258556,-5.134544890572634e-05,0.6818099737481679,-3.5927676975355816e-05,0.40780692365857296,0.00021628481501984043,0.4393179780372345,0.001499214238196711
phrd_s8_pred_agreement_low_thr0p8_a0p1,0.7787424628870995,-6.426868766185034e-05,0.6817593553400915,-8.654608505176409e-05,0.4076523744030701,6.17355595169955e-05,0.43865273184793824,0.0008339680489004575
phrd_s8_region_entropy_score_low_thr0p95_a0p25,0.7787343632019025,-7.236837285884423e-05,0.6815971087397487,-0.0002487926853945721,0.40745771173499334,-0.00013292710855977719,0.44289488146084205,0.005076117661804269
phrd_s4_region_entropy_score_low_thr0p95_a0p25,0.7787306043610212,-7.612721374017362e-05,0.6814702470868995,-0.00037565433824371386,0.406435097611031,-0.0011555412325220948,0.44096663163679484,0.003147867837757057
phrd_s8_region_entropy_score_low_thr0p8_a0p5,0.7787258037627337,-8.092781202762023e-05,0.6818709211807831,2.501975563984349e-05,0.4087265924472239,0.001135953603670803,0.44067257353862765,0.0028538097395898743
phrd_s4_pred_agreement_low_thr0p7_a0p25,0.7787217768196937,-8.49547550676455e-05,0.6816682733435272,-0.0001776280816160325,0.4076455186597914,5.487981623825133e-05,0.4382960056304895,0.0004772418314517024
phrd_s4_mean_top_gap_low_thr0p9_a0p25,0.7786657295927955,-0.00014100198196587144,0.6814382360716593,-0.0004076653534839103,0.4064161554192227,-0.001174483424330408,0.4409810935104752,0.0031623297114374282
phrd_s4_mean_conf_low_thr0p95_a0p25,0.77866381234035,-0.0001429192344113428,0.6814339816826543,-0.0004119197424888865,0.4064161554192227,-0.001174483424330408,0.4409810935104752,0.0031623297114374282
phrd_s8_region_conf_low_thr0p6_a0p75,0.778661377162338,-0.00014535441242335967,0.6817112288342714,-0.0001346725908718538,0.4076412444833496,5.060563979647492e-05,0.43838759749713174,0.0005688336980939623
phrd_s4_mean_top_gap_low_thr0p95_a0p25,0.7786444786532403,-0.00016225292152105553,0.6814244831542121,-0.0004214182709311176,0.4064081683331019,-0.0011824705104512279,0.44099073475959544,0.0031719709605576574
phrd_s8_pred_agreement_low_thr0p6_a0p25,0.7786435754437315,-0.00016315613102979576,0.6816005071215365,-0.0002453943036067052,0.40761480206038125,2.4163216828132494e-05,0.4385997049777769,0.0007809411787391141
phrd_s4_pred_agreement_low_thr0p8_a0p25,0.7786414671303094,-0.00016526444445197352,0.6814798433374919,-0.0003660580876513331,0.4070633733445217,-0.0005272654990314263,0.4394674173985982,0.0016486535995604013
phrd_s4_pred_agreement_low_thr0p95_a0p25,0.778632595148346,-0.00017413642641528337,0.681418097254899,-0.0004278041702442392,0.40644911581168947,-0.001141523031863656,0.4408702191455925,0.00305145534655471
phrd_s4_pred_agreement_low_thr0p9_a0p25,0.7786153725075204,-0.00019135906724088159,0.6814343281928743,-0.0004115732322689247,0.40655718556426307,-0.001033453279290053,0.4404749279316628,0.0026561641326250385
phrd_s8_mean_top_gap_low_thr0p6_a0p75,0.7785757170159872,-0.00023101455877416743,0.6814574529491295,-0.00038844847601371413,0.4088895104071597,0.001298871563606585,0.4425574377416338,0.004738673942596028
phrd_s4_pred_agreement_low_thr0p6_a0p5,0.7784732048458478,-0.00033352672891351354,0.6813000264082455,-0.0005458750168977344,0.4074780882599778,-0.00011255058357534375,0.43886965995314353,0.0010508961541057515
phrd_s8_mean_top_gap_low_thr0p7_a0p5,0.7784608027977409,-0.00034592877702044333,0.6810288780385673,-0.0008170233865759657,0.4081628895966419,0.0005722507530887544,0.44386382699742577,0.00604506319838799
phrd_s4_mean_top_gap_low_thr0p7_a0p5,0.7784603294257806,-0.00034640214898074007,0.6809775440499707,-0.000868357375172546,0.4058984961030406,-0.0016921427405125478,0.44300575582572477,0.005186992026686987
phrd_s8_mean_top_gap_low_thr0p9_a0p25,0.7784192445161243,-0.00038748705863700383,0.6810228119174215,-0.0008230895077216971,0.4064749655489204,-0.0011156732946327463,0.4447026156708863,0.006883851871848534
phrd_s8_pred_agreement_low_thr0p7_a0p25,0.7784126000940941,-0.000394131480667248,0.6813420786696864,-0.0005038227554567953,0.40733532223492147,-0.0002553166086316505,0.4394240317775571,0.0016052679785193424
phrd_s8_mean_conf_low_thr0p95_a0p25,0.7783804094012707,-0.00042632217349058976,0.6809793956204253,-0.0008665058047179208,0.4064499296284454,-0.001140709215107727,0.444731539418247,0.006912775619209222
phrd_s4_mean_top_gap_low_thr0p6_a0p75,0.778295243755427,-0.0005114878193342998,0.6807199360974308,-0.0011259653277124748,0.4062534312254322,-0.0013372076181208947,0.4427358008503582,0.004917037051320405
phrd_s8_mean_top_gap_low_thr0p95_a0p25,0.7782469565592569,-0.0005597750155044157,0.6808487761876226,-0.000997125237520602,0.4062558572861882,-0.001334781557364939,0.4450448800146547,0.007226116215616918
phrd_s8_pred_agreement_low_thr0p8_a0p25,0.7781744946041729,-0.0006322369705884512,0.6810060902236071,-0.0008398112015360892,0.4068992508924912,-0.0006913879510619392,0.4411932009911204,0.0033744371920826355
phrd_s8_region_entropy_score_low_thr0p7_a0p75,0.7781595878388358,-0.0006471437359255594,0.6812049969013136,-0.0006409045238295885,0.4080914142280173,0.0005007753844641916,0.43866719372161855,0.0008484299225807734
phrd_s4_region_conf_low_thr0p7_a0p75,0.7781516367393032,-0.0006550948354581143,0.6809144833313295,-0.0009314180938136962,0.4070692345072762,-0.0005214043362768983,0.44056169917374494,0.002742935374707156
phrd_s8_region_entropy_score_low_thr0p6_a1p0,0.7781032407342403,-0.000703490840521015,0.6813138697209113,-0.0005320317042318834,0.4075778108060848,-1.2828037468326503e-05,0.43786214942007884,4.338562104105881e-05
phrd_s4_mean_conf_low_thr0p8_a0p75,0.7780929013299241,-0.0007138302448371769,0.680373038866813,-0.0014728625583302346,0.4060796837539575,-0.0015109550895956447,0.44291898458364265,0.00510022078460487
phrd_s8_pred_agreement_low_thr0p95_a0p25,0.7780707409064834,-0.0007359906682778972,0.6807190938213292,-0.0011268076038140062,0.406311289362921,-0.0012793494806321304,0.4445772794323232,0.006758515633285445
phrd_s4_region_conf_low_thr0p9_a0p5,0.7780699186570009,-0.0007368129177603988,0.6805792138597756,-0.0012666875653676302,0.4055524477058583,-0.0020381911376948225,0.4430732445695664,0.005254480770528647
phrd_s4_pred_agreement_low_thr0p7_a0p5,0.778063296225471,-0.0007434353492903334,0.6807882794729732,-0.0010576219521700736,0.4070872726343195,-0.0005033662092336355,0.4398482467388475,0.0020294829398097014
phrd_s8_pred_agreement_low_thr0p9_a0p25,0.7780397990497147,-0.0007669325250466708,0.6807335437840667,-0.0011123576410765335,0.40621711889075846,-0.0013735199527946662,0.4436179751448598,0.0057992113458220085
phrd_s4_region_entropy_score_low_thr0p7_a1p0,0.7779354057160732,-0.000871325858688099,0.6808111035461638,-0.001034797878979421,0.40813268932835123,0.0005420504847981067,0.4379151762902402,9.641249120240225e-05
phrd_s8_mean_conf_low_thr0p8_a0p75,0.7778785041539543,-0.000928227420807004,0.680366809212585,-0.001479092212558264,0.4085935601681747,0.0010029213246215973,0.4428273927170004,0.00500862891796261
phrd_s4_mean_top_gap_low_thr0p8_a0p5,0.7778679331441022,-0.0009387984306591379,0.6801381272973728,-0.0017077741277704561,0.40482434483641466,-0.002766294007138459,0.4442109119657543,0.006392148166716516
phrd_s4_region_entropy_score_low_thr0p9_a0p5,0.7778068334883859,-0.0009998980863754614,0.6801525558036855,-0.0016933456214577314,0.40512878643829786,-0.0024618524052552604,0.4436806432641413,0.0058618794651035255
phrd_s4_mean_conf_low_thr0p9_a0p5,0.7777991860965987,-0.0010075454781626192,0.6800441254285676,-0.0018017759965756053,0.40478115044603813,-0.002809488397514992,0.4442639388359156,0.006445175036877804
phrd_s4_region_conf_low_thr0p95_a0p5,0.7776131080661886,-0.001193623508572772,0.6799653810976156,-0.0018805203275276128,0.40478967904250285,-0.0028009598010502734,0.4441627057201531,0.006343941921115315
phrd_s8_pred_agreement_low_thr0p6_a0p5,0.7775328259318095,-0.0012739056429518225,0.680008613395551,-0.0018372880295922656,0.4069292409873417,-0.0006613978562114431,0.4408653985210324,0.0030466347219946233
