scene,region_size,expert,desired_B_points,danger_A_points,desired_in_defer_region,danger_in_defer_region,defer_point_frac
scene0423_01,16,PTv3_supervised,58,9,58,9,0.03722869232296944
scene0616_00,4,Concerto decoder,4353,5152,4028,166,0.04475342109799385
scene0616_00,4,Sonata linear,6619,9143,6186,274,0.04942174255847931
scene0616_00,4,Utonia,4399,7850,4011,182,0.03847231715917587
scene0616_00,4,PTv3_supervised,5849,3321,5622,219,0.0533594936132431
scene0616_00,8,Concerto decoder,4353,5152,3972,301,0.08085941523313522
scene0616_00,8,Sonata linear,6619,9143,6033,346,0.06776421517133713
scene0616_00,8,Utonia,4399,7850,3885,309,0.061809342354536057
scene0616_00,8,PTv3_supervised,5849,3321,5538,327,0.09969811886548996
scene0616_00,16,Concerto decoder,4353,5152,3765,358,0.13349752128124237
scene0616_00,16,Sonata linear,6619,9143,5602,440,0.10527162253856659
scene0616_00,16,Utonia,4399,7850,3656,469,0.0951906144618988
scene0616_00,16,PTv3_supervised,5849,3321,5154,301,0.16124555468559265
scene0086_02,4,Concerto decoder,939,857,862,86,0.03318583965301514
scene0086_02,4,Sonata linear,1049,7849,874,92,0.02742641419172287
scene0086_02,4,Utonia,1145,1981,1000,112,0.03144238144159317
scene0086_02,4,PTv3_supervised,1129,1372,1010,110,0.03738216683268547
scene0086_02,8,Concerto decoder,939,857,833,121,0.06049201637506485
scene0086_02,8,Sonata linear,1049,7849,779,77,0.04411552473902702
scene0086_02,8,Utonia,1145,1981,909,109,0.05124567076563835
scene0086_02,8,PTv3_supervised,1129,1372,1015,151,0.07342968136072159
scene0086_02,16,Concerto decoder,939,857,789,135,0.13853886723518372
scene0086_02,16,Sonata linear,1049,7849,414,179,0.06110523268580437
scene0086_02,16,Utonia,1145,1981,846,194,0.11308436095714569
scene0086_02,16,PTv3_supervised,1129,1372,995,189,0.147340327501297
scene0685_01,4,Concerto decoder,1340,2141,1256,41,0.02907002530992031
scene0685_01,4,Sonata linear,700,5201,546,49,0.019417043775320053
scene0685_01,4,Utonia,1626,4040,1489,49,0.03143606334924698
scene0685_01,4,PTv3_supervised,1381,4030,1281,42,0.03521283343434334
scene0685_01,8,Concerto decoder,1340,2141,1246,71,0.05579623207449913
scene0685_01,8,Sonata linear,700,5201,492,66,0.03621256723999977
scene0685_01,8,Utonia,1626,4040,1477,74,0.05445214733481407
scene0685_01,8,PTv3_supervised,1381,4030,1278,87,0.0676041916012764
scene0685_01,16,Concerto decoder,1340,2141,1120,61,0.09618546068668365
scene0685_01,16,Sonata linear,700,5201,505,171,0.07168088853359222
scene0685_01,16,Utonia,1626,4040,1443,77,0.09471918642520905
scene0685_01,16,PTv3_supervised,1381,4030,1239,111,0.12150093168020248
scene0329_02,4,Concerto decoder,7861,5957,7230,395,0.052579980343580246
scene0329_02,4,Sonata linear,13196,9458,12336,416,0.06681360304355621
scene0329_02,4,Utonia,14896,7509,14194,415,0.07351893931627274
scene0329_02,4,PTv3_supervised,7897,4594,7521,330,0.056369174271821976
scene0329_02,8,Concerto decoder,7861,5957,6902,534,0.07980205863714218
scene0329_02,8,Sonata linear,13196,9458,11889,568,0.0853552520275116
scene0329_02,8,Utonia,14896,7509,13885,579,0.09830792248249054
