variant,mIoU,delta_mIoU,mAcc,allAcc,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall_frac,delta_picture_to_wall_frac,counter_iou,desk_iou,sink_iou,cabinet_iou,door_iou,shower_curtain_iou
multiproto8_adapt_tau0p05_lam0p1,0.70924607,-0.00025954,0.82292208,0.88965433,0.60472417,-0.00019059,0.36168924,-0.00018413,0.47217536,-0.00375045,0.62903818,0.60393264,0.64871818,0.61092428,0.65056159,0.72820507
multiproto8_adapt_tau0p1_lam0p2,0.70923562,-0.00026999,0.82290805,0.88965898,0.60471327,-0.00020149,0.36164029,-0.00023307,0.47200181,-0.00392399,0.62898042,0.60410939,0.64852839,0.61098216,0.65055338,0.72819883
multiproto4_adapt_tau0p1_lam0p2,0.70922801,-0.00027760,0.82287433,0.88965466,0.60476299,-0.00015176,0.36173080,-0.00014257,0.47184755,-0.00407825,0.62896540,0.60427898,0.64842018,0.61111985,0.65059217,0.72823357
proto_tau0p1_lam0p1,0.70922698,-0.00027863,0.82288851,0.88964388,0.60466696,-0.00024780,0.36184086,-0.00003251,0.47096538,-0.00496042,0.62859687,0.60451299,0.64822297,0.61107321,0.65049395,0.72792785
multiproto4_adapt_tau0p05_lam0p1,0.70922275,-0.00028287,0.82289289,0.88964430,0.60472945,-0.00018530,0.36173722,-0.00013615,0.47200181,-0.00392399,0.62896587,0.60421224,0.64842088,0.61099029,0.65056279,0.72821686
multiproto8_tau0p05_lam0p05,0.70919658,-0.00030904,0.82334494,0.88956462,0.60472405,-0.00019070,0.36174165,-0.00013171,0.46898892,-0.00693688,0.62940732,0.60386285,0.64879749,0.61045125,0.65041800,0.72838982
proto_tau0p05_lam0p05,0.70919098,-0.00031463,0.82305520,0.88961528,0.60465186,-0.00026290,0.36181230,-0.00006107,0.47013623,-0.00578957,0.62890388,0.60433663,0.64815398,0.61093403,0.65042094,0.72800124
multiproto8_tau0p1_lam0p1,0.70918215,-0.00032346,0.82334736,0.88956704,0.60472394,-0.00019081,0.36170364,-0.00016972,0.46853096,-0.00739484,0.62932062,0.60395633,0.64874503,0.61051281,0.65041264,0.72841651
multiproto4_tau0p1_lam0p1,0.70914720,-0.00035841,0.82329605,0.88955695,0.60471650,-0.00019825,0.36182043,-0.00005294,0.46836706,-0.00755874,0.62913029,0.60405348,0.64848416,0.61054422,0.65044101,0.72854194
multiproto4_tau0p05_lam0p05,0.70914362,-0.00036200,0.82330239,0.88954937,0.60468611,-0.00022864,0.36178337,-0.00008999,0.46887323,-0.00705257,0.62917160,0.60401972,0.64848965,0.61038206,0.65043286,0.72852352
knn_adapt_k20_tau0p05_lam0p1,0.70907065,-0.00043497,0.82319214,0.88958652,0.60442548,-0.00048927,0.36151681,-0.00035656,0.47137513,-0.00455067,0.62879310,0.60294638,0.64843586,0.61052635,0.65044727,0.72831260
