pair,positive_class,negative_class,feature,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
door_vs_wall,door,wall,patch_proj,balanced,0.47179022431373596,0.008688178986718859,0.4562929753214121,0.4885398060083389,0.4734940230846405,0.010135073399406955,0.4555539101362228,0.4927826054394245,0.35466378927230835,0.5889166593551636,0.5722024440765381,984,12000,922,12000,1968,
door_vs_wall,door,wall,patch_proj,weighted,0.5344207435846329,0.007227140749434349,0.5204648612067103,0.5466590760275721,0.6568161845207214,0.007536577122022682,0.6428774863481521,0.670074287056923,0.22125813364982605,0.8475833535194397,0.8028942942619324,984,12000,922,12000,12984,12.195121951219512
shower_curtain_vs_wall,shower curtain,wall,dino_exact,unweighted,0.5,0.0,0.5,0.5,0.6393918991088867,0.03934012125944557,0.553851455450058,0.6923388168215752,0.0,1.0,0.9938711524009705,9,12000,74,12000,12009,
shower_curtain_vs_wall,shower curtain,wall,dino_exact,balanced,0.6898423433303833,0.02319437299112708,0.6451138883829117,0.7315985031425953,0.7842691540718079,0.03064817849531991,0.7237993165850639,0.8359539583325386,0.8513513803482056,0.528333306312561,0.5303130745887756,9,12000,74,12000,18,
shower_curtain_vs_wall,shower curtain,wall,dino_exact,weighted,0.5133051658049226,0.008720349466816737,0.4997062414884567,0.530443067708984,0.5463231801986694,0.0365187436411005,0.48195710480213166,0.6086307570338249,0.027027027681469917,0.9995833039283752,0.9936226606369019,9,12000,74,12000,12009,1333.3333333333333
shower_curtain_vs_wall,shower curtain,wall,encoder_pooled,unweighted,0.5,0.0,0.5,0.5,0.9074673652648926,0.013912977731709516,0.8794377595186234,0.9327486798167228,0.0,1.0,0.9938711524009705,9,12000,74,12000,12009,
shower_curtain_vs_wall,shower curtain,wall,encoder_pooled,balanced,0.7574166655540466,0.002054156898712332,0.7531448021531105,0.7611468717455864,0.9644684791564941,0.00724330489488129,0.9484901040792465,0.9756930127739907,1.0,0.5148333311080933,0.5178068280220032,9,12000,74,12000,18,
shower_curtain_vs_wall,shower curtain,wall,encoder_pooled,weighted,0.5268186796456575,0.013946533133026002,0.5064234179444611,0.5572419737465679,0.8605551719665527,0.018087499743142138,0.8257397785782814,0.8925718441605568,0.054054055362939835,0.9995833039283752,0.9937883019447327,9,12000,74,12000,12009,1333.3333333333333
shower_curtain_vs_wall,shower curtain,wall,patch_proj,unweighted,0.5,0.0,0.5,0.5,0.9189774990081787,0.023812977244205984,0.8615679770708085,0.9515207722783088,0.0,1.0,0.9938711524009705,9,12000,74,12000,12009,
shower_curtain_vs_wall,shower curtain,wall,patch_proj,balanced,0.650476336479187,0.0255615009983524,0.6005650989711284,0.6936194062232971,0.694327712059021,0.03789982251721382,0.6093534663319587,0.7503260150551796,0.7027027010917664,0.5982499718666077,0.5988901853561401,9,12000,74,12000,18,
shower_curtain_vs_wall,shower curtain,wall,patch_proj,weighted,0.5933445990085602,0.024279186080845255,0.5526988558471203,0.6472778119146824,0.8267139792442322,0.025532707464115487,0.7796753033995628,0.8701009273529052,0.18918919563293457,0.9975000023841858,0.9925459623336792,9,12000,74,12000,12009,1333.3333333333333
