variant,mIoU,delta_mIoU,weak_mean_iou,delta_weak_mean_iou,picture_iou,delta_picture_iou,picture_to_wall,delta_picture_to_wall
phrd_s4_region_conf_thr0p7_a0p1,0.4092427304928795,0.00019076986659788409,0.2903007938066722,0.0005695737249572508,0.6332586786113867,0.004687250039993374,0.02538370720188902,-0.0005903187721369545
phrd_s8_pred_agreement_thr0p95_a0p25,0.40923197338013956,0.0001800127538579277,0.2900541591099544,0.0003229390282394884,0.630751964085262,0.0021805355138686533,0.025974025974025976,0.0
phrd_s4_region_entropy_score_thr0p6_a0p1,0.40922290101257036,0.00017094038628873154,0.2904606715513684,0.0007294514696534748,0.6352413019079329,0.006669873336539567,0.02538370720188902,-0.0005903187721369545
phrd_s8_pred_agreement_thr0p9_a0p5,0.40922038219131196,0.00016842156503033,0.2904455110669734,0.0007142909852584922,0.6343241727425332,0.005752744171139801,0.025974025974025976,0.0
phrd_s8_pred_agreement_thr0p9_a0p1,0.4092176223919079,0.00016566176562626822,0.2900328860256844,0.00030166594396946467,0.6314606741572679,0.002889245585874556,0.025974025974025976,0.0
phrd_s8_mean_conf_thr0p8_a0p1,0.40921292323154956,0.0001609626052679336,0.2895621147740048,-0.00016910530771013788,0.6299831555305654,0.0014117269591720216,0.026564344746162927,0.000590318772136951
phrd_s4_region_entropy_score_thr0p7_a0p25,0.40920548022538233,0.00015351959910070434,0.2903681948115681,0.0006369747298531903,0.6363128491619756,0.007741420590582249,0.024203069657615112,-0.0017709563164108634
phrd_s8_pred_agreement_thr0p9_a0p75,0.40919879617811167,0.00014683555183003794,0.2904403092417209,0.000709089160005949,0.6343241727425332,0.005752744171139801,0.025974025974025976,0.0
phrd_s8_pred_agreement_thr0p9_a1p0,0.40919879617811167,0.00014683555183003794,0.2904403092417209,0.000709089160005949,0.6343241727425332,0.005752744171139801,0.025974025974025976,0.0
phrd_s4_region_conf_thr0p8_a0p1,0.4091875080050139,0.0001355473787322814,0.2902006923204235,0.00046947223870857924,0.6319327731092083,0.003361344537814892,0.02538370720188902,-0.0005903187721369545
phrd_s8_region_entropy_score_thr0p9_a0p1,0.40918465475446536,0.00013269412818373016,0.2895833263825204,-0.00014789369919454565,0.6296296296295942,0.0010582010582008694,0.025974025974025976,0.0
phrd_s8_mean_top_gap_thr0p8_a0p1,0.4091693057477278,0.00011734512144617737,0.289817282920325,8.606283861006814e-05,0.629276500280391,0.0007050717089975844,0.025974025974025976,0.0
phrd_s4_mean_conf_thr0p6_a0p1,0.40916724892118095,0.00011528829489931836,0.2902062947760657,0.0004750746943507633,0.6332024677509459,0.004631039179552543,0.02538370720188902,-0.0005903187721369545
phrd_s4_mean_conf_thr0p6_a0p5,0.40915646960173546,0.00010450897545383198,0.2913994318113304,0.0016682117296154542,0.6491912994980117,0.020619870926618322,0.023022432113341203,-0.0029515938606847723
phrd_s8_region_conf_thr0p95_a0p1,0.4091516358456251,9.967521934345358e-05,0.28964746435062366,-8.375573109126178e-05,0.629276500280391,0.0007050717089975844,0.025974025974025976,0.0
phrd_s4_pred_agreement_thr0p9_a0p25,0.40915125073130526,9.929010502363056e-05,0.29000282747398337,0.000271607392268447,0.6308123249299367,0.0022408963585432984,0.02538370720188902,-0.0005903187721369545
phrd_s8_mean_conf_thr0p9_a0p1,0.4091504765292971,9.851590301546143e-05,0.2897413773058658,1.0157224150875166e-05,0.6285714285713934,0.0,0.025974025974025976,0.0
phrd_s8_mean_conf_thr0p8_a0p25,0.4091473431566642,9.53825303825484e-05,0.2891073399849349,-0.0006238800967800495,0.6301907968574282,0.0016193682860348169,0.024793388429752067,-0.001180637544273909
phrd_s4_pred_agreement_thr0p8_a0p5,0.4091443610740976,9.240044781594348e-05,0.290423315710252,0.0006920956285370594,0.6347338935573874,0.006162464985994043,0.024793388429752067,-0.001180637544273909
phrd_s8_region_entropy_score_thr0p95_a0p1,0.4091405367150892,8.857608880757928e-05,0.2897281060959678,-3.1139857471496057e-06,0.6289237668161082,0.00035233824471481157,0.025974025974025976,0.0
phrd_s8_pred_agreement_thr0p8_a1p0,0.40913303892977054,8.107830348891287e-05,0.2922487176099029,0.002517497528187973,0.6564245810055499,0.027853152434156536,0.023612750885478158,-0.002361275088547818
phrd_s4_region_conf_thr0p6_a0p5,0.40912839916781935,7.643854153771557e-05,0.2912182534154782,0.0014870333337632657,0.6474860335195168,0.01891460494812347,0.024203069657615112,-0.0017709563164108634
phrd_s8_pred_agreement_thr0p8_a0p75,0.40912562302297556,7.366239669392982e-05,0.29226315885993975,0.0025319387782248293,0.6564245810055499,0.027853152434156536,0.023612750885478158,-0.002361275088547818
phrd_s4_pred_agreement_thr0p8_a0p25,0.4091252895009988,7.33288747171712e-05,0.2902779082153742,0.0005466881336592677,0.6328475336322515,0.004276105060858182,0.024793388429752067,-0.001180637544273909
phrd_s8_region_entropy_score_thr0p95_a0p25,0.4091171726194206,6.521199313896942e-05,0.2896532171565443,-7.800292517062823e-05,0.6289237668161082,0.00035233824471481157,0.025974025974025976,0.0
phrd_s8_pred_agreement_thr0p95_a0p1,0.4091149302191018,6.296959282015013e-05,0.28993364508637576,0.00020242500466083335,0.6301907968574282,0.0016193682860348169,0.025974025974025976,0.0
phrd_s4_pred_agreement_thr0p9_a0p1,0.40911143830685665,5.9477680575015235e-05,0.2898769426998307,0.00014572261811579557,0.629691876750665,0.0011204481792715937,0.02538370720188902,-0.0005903187721369545
phrd_s4_region_conf_thr0p95_a0p25,0.4091095697923022,5.7609166020544667e-05,0.28976241749752585,3.1197415810924056e-05,0.6285714285713934,0.0,0.02538370720188902,-0.0005903187721369545
