pair,positive_class,negative_class,feature,probe,balanced_acc,bal_acc_std,bal_acc_ci_low,bal_acc_ci_high,auc,auc_std,auc_ci_low,auc_ci_high,positive_acc,negative_acc,acc,train_positive,train_negative,val_positive,val_negative,train_samples_probe,pos_weight
desk_vs_table,desk,table,linear_logits_pooled,unweighted,0.8934608697891235,0.014663703049258932,0.862999825924635,0.9181468077003956,0.9678558707237244,0.00572197722913537,0.9554630860686302,0.9768813118338585,0.8369565010070801,0.949965238571167,0.9371533989906311,836,1994,184,1439,2830,
desk_vs_table,desk,table,linear_logits_pooled,balanced,0.9059790074825287,0.010621134314740687,0.8881188116967678,0.9274657145142555,0.9663527011871338,0.00590075392764817,0.9552926063537598,0.9768133237957954,0.89673912525177,0.9152188897132874,0.9131238460540771,836,1994,184,1439,1672,
desk_vs_table,desk,table,linear_logits_pooled,weighted,0.9114137887954712,0.01069860988405015,0.890903114527464,0.9303236976265907,0.966934323310852,0.005945196220243197,0.9550891190767288,0.9766316667199135,0.907608687877655,0.9152188897132874,0.9143561124801636,836,1994,184,1439,2830,2.3851674641148324
sink_vs_cabinet,sink,cabinet,dino_exact,unweighted,0.5,0.0,0.5,0.5,0.411431223154068,0.08249104063019969,0.2546770371496677,0.5836036294698714,0.0,1.0,0.990791916847229,5,4277,10,1076,4282,
sink_vs_cabinet,sink,cabinet,dino_exact,balanced,0.48122677206993103,0.06719868890160953,0.3751626431941986,0.6148768603801725,0.5047397613525391,0.07522622578851192,0.37431691735982897,0.6456296518445015,0.6000000238418579,0.36245352029800415,0.36464089155197144,5,4277,10,1076,10,
sink_vs_cabinet,sink,cabinet,dino_exact,weighted,0.5,0.0,0.5,0.5,0.3795539140701294,0.08440366340731809,0.2047746255993843,0.5409642249345779,0.0,1.0,0.990791916847229,5,4277,10,1076,4282,855.4
sink_vs_cabinet,sink,cabinet,encoder_pooled,unweighted,0.4911710023880005,0.0022904039107272205,0.486744886636734,0.49513244032859804,0.6486059427261353,0.0505071795711112,0.5526626572012902,0.7382551372051239,0.0,0.982342004776001,0.9732965230941772,5,4277,10,1076,4282,
sink_vs_cabinet,sink,cabinet,encoder_pooled,balanced,0.48197025060653687,0.07630794923987881,0.3396026961505413,0.6273931212723255,0.48262080550193787,0.1008652004553007,0.30612917989492416,0.6780065000057218,0.699999988079071,0.2639405131340027,0.26795580983161926,5,4277,10,1076,10,
sink_vs_cabinet,sink,cabinet,encoder_pooled,weighted,0.47026023268699646,0.003726311089943717,0.46348744854331014,0.4777184009552002,0.7760223150253296,0.04525392464610531,0.6907992526888848,0.8687662705779076,0.0,0.9405204653739929,0.9318600296974182,5,4277,10,1076,4282,855.4
sink_vs_cabinet,sink,cabinet,patch_proj,unweighted,0.49721190333366394,0.0012449421466695593,0.4946445286273956,0.4990706443786621,0.30650559067726135,0.058126423077101516,0.18391728065907956,0.41321561262011525,0.0,0.9944238066673279,0.9852670431137085,5,4277,10,1076,4282,
sink_vs_cabinet,sink,cabinet,patch_proj,balanced,0.5550185739994049,0.046983879112871635,0.45223047584295273,0.6108387539163231,0.3669145107269287,0.05504081315039262,0.26488384082913397,0.47033458203077316,0.8999999761581421,0.21003717184066772,0.2163904309272766,5,4277,10,1076,10,
sink_vs_cabinet,sink,cabinet,patch_proj,weighted,0.4828066825866699,0.0025169978477759193,0.47769516706466675,0.48630344271659853,0.4188661575317383,0.07432324534011765,0.29274396449327467,0.5480669170618057,0.0,0.9656133651733398,0.9567219018936157,5,4277,10,1076,4282,855.4
sink_vs_cabinet,sink,cabinet,linear_feat_pooled,unweighted,0.4925650656223297,0.0018465164107777437,0.48953298330307005,0.49606179594993594,0.6064126491546631,0.08224986894661813,0.42322025522589685,0.7396398469805717,0.0,0.9851301312446594,0.9760589599609375,5,4277,10,1076,4282,
sink_vs_cabinet,sink,cabinet,linear_feat_pooled,balanced,0.47081784158945084,0.06990990950607147,0.32518587429076434,0.5826788932085037,0.45920073986053467,0.08435842523897162,0.3328043781220913,0.6191031500697135,0.699999988079071,0.24163569509983063,0.2458563596010208,5,4277,10,1076,10,
sink_vs_cabinet,sink,cabinet,linear_feat_pooled,weighted,0.6202602386474609,0.07057779061396496,0.5110710933804512,0.7486245498061177,0.8015799522399902,0.049237517348379736,0.7083596616983414,0.8959665477275846,0.30000001192092896,0.9405204653739929,0.9346224665641785,5,4277,10,1076,4282,855.4
sink_vs_cabinet,sink,cabinet,linear_logits_pooled,unweighted,0.5,0.0,0.5,0.5,0.36895909905433655,0.078545022092974,0.21342471726238726,0.514105476438999,0.0,1.0,0.990791916847229,5,4277,10,1076,4282,
sink_vs_cabinet,sink,cabinet,linear_logits_pooled,balanced,0.5223048329353333,0.07169572258161604,0.4186686880886555,0.66467240229249,0.5069702863693237,0.1010204845206639,0.35393355041742325,0.7155367121100425,0.5,0.5446096658706665,0.5441988706588745,5,4277,10,1076,10,
sink_vs_cabinet,sink,cabinet,linear_logits_pooled,weighted,0.4814126491546631,0.0028281228265420086,0.4763011038303375,0.4867681205272675,0.5217472314834595,0.09455634406778249,0.3030111536383629,0.6571119770407675,0.0,0.9628252983093262,0.9539594650268555,5,4277,10,1076,4282,855.4
door_vs_wall,door,wall,dino_exact,unweighted,0.49937643855810165,0.006384366828224617,0.4900626922491938,0.5144067014567554,0.48409178853034973,0.014190334939303936,0.45516420975327493,0.5135107696056366,0.06928406655788422,0.9294688105583191,0.8902913928031921,956,12000,433,9074,12956,
door_vs_wall,door,wall,dino_exact,balanced,0.4838412404060364,0.012838898264466351,0.4602704755961895,0.5103277716785669,0.49597814679145813,0.01324046778531964,0.471206384152174,0.520870004594326,0.4341801404953003,0.5335023403167725,0.5289786458015442,956,12000,433,9074,1912,
door_vs_wall,door,wall,dino_exact,weighted,0.5105448216199875,0.008169661396914734,0.4936031948775053,0.5256070870906114,0.48284873366355896,0.015419663749614874,0.45186017751693724,0.511778025329113,0.13856813311576843,0.8825215101242065,0.8486378192901611,956,12000,433,9074,12956,12.552301255230125
door_vs_wall,door,wall,encoder_pooled,unweighted,0.5586531013250351,0.008783179490690686,0.5465110057964921,0.5793384581804275,0.5803748369216919,0.014544825968858605,0.5536398142576218,0.6113477393984794,0.2401847541332245,0.8771214485168457,0.8481119275093079,956,12000,433,9074,12956,
door_vs_wall,door,wall,encoder_pooled,balanced,0.5229750871658325,0.013846416663553707,0.5012644793838262,0.549416609108448,0.5115514397621155,0.01709437463118224,0.4835244417190552,0.5455165088176728,0.5288683772087097,0.5170817971229553,0.5176185965538025,956,12000,433,9074,1912,
door_vs_wall,door,wall,encoder_pooled,weighted,0.5617146492004395,0.010629339259874472,0.5420183019712568,0.5817843548953533,0.5855862498283386,0.014695425947793484,0.5597733423113823,0.6143962085247039,0.26327943801879883,0.8601498603820801,0.8329651951789856,956,12000,433,9074,12956,12.552301255230125
door_vs_wall,door,wall,patch_proj,unweighted,0.5090836398303509,0.00844525376666669,0.49579139715060594,0.5271415453404188,0.5560770034790039,0.0136187995852338,0.5268136441707612,0.5832213535904884,0.11316397041082382,0.9050033092498779,0.868938684463501,956,12000,433,9074,12956,
door_vs_wall,door,wall,patch_proj,balanced,0.5830822288990021,0.012909502128122904,0.556334712728858,0.6047564201056957,0.6228110790252686,0.01512490444785318,0.5922942236065865,0.6500280767679214,0.5381062626838684,0.6280581951141357,0.6239612698554993,956,12000,433,9074,1912,
door_vs_wall,door,wall,patch_proj,weighted,0.518694631755352,0.010486201585674794,0.49854352958500386,0.5430856142193079,0.5653523206710815,0.016663033942965484,0.5365525737404824,0.6005222797393799,0.19630484282970428,0.8410844206809998,0.811717689037323,956,12000,433,9074,12956,12.552301255230125
door_vs_wall,door,wall,linear_feat_pooled,unweighted,0.4824594631791115,0.00809014624712209,0.4677695661783218,0.49652874302119016,0.4815596342086792,0.012510417554967316,0.4596104763448238,0.5055479630827904,0.12240184843540192,0.842517077922821,0.8097191452980042,956,12000,433,9074,12956,
door_vs_wall,door,wall,linear_feat_pooled,balanced,0.5084962099790573,0.01081466409035221,0.4881984207779169,0.5281617246568203,0.5039309859275818,0.014481839765571256,0.4723950490355492,0.5293439283967019,0.41108545660972595,0.6059069633483887,0.5970337390899658,956,12000,433,9074,1912,
door_vs_wall,door,wall,linear_feat_pooled,weighted,0.48174313455820084,0.007938905436113001,0.46987366713583467,0.49753024224191905,0.5087018609046936,0.013764358484788887,0.4864132434129715,0.5372179791331291,0.12240184843540192,0.8410844206809998,0.8083517551422119,956,12000,433,9074,12956,12.552301255230125
door_vs_wall,door,wall,linear_logits_pooled,unweighted,0.5088449129834771,0.003994018770637883,0.501355716388207,0.5180813949555159,0.583821713924408,0.013165285571250603,0.5610448479652405,0.6138055175542831,0.025404157117009163,0.9922856688499451,0.9482486844062805,956,12000,433,9074,12956,
door_vs_wall,door,wall,linear_logits_pooled,balanced,0.5557190626859665,0.012126634702595434,0.5306568779051304,0.5772132679820061,0.591611385345459,0.013633957788939503,0.5691878065466881,0.6225603878498077,0.41108545660972595,0.700352668762207,0.6871778964996338,956,12000,433,9074,1912,
door_vs_wall,door,wall,linear_logits_pooled,weighted,0.5684380531311035,0.011506807735599317,0.5476164314895868,0.5894904192537069,0.6053394079208374,0.012309936671347168,0.5811107888817787,0.6283539280295372,0.42032331228256226,0.7165527939796448,0.7030609250068665,956,12000,433,9074,12956,12.552301255230125
