variant,mIoU,mAcc,allAcc,weak_mean_iou,picture_iou,wall_iou,counter_iou,cabinet_iou,door_iou,picture_to_wall
oracle::Sonata linear+Utonia,0.8173683074074809,0.8940065358972973,0.9367278062678984,0.7285202906485704,0.4975508973251396,0.8991073586958979,0.7442318202491102,0.7755743656403591,0.8012743443969731,0.3715978442166967
oracle::Utonia+Concerto fullFT,0.8546725649259479,0.9164796797285527,0.9515202368358522,0.7807240321704152,0.5691641346145927,0.9218803936895945,0.7871492120581134,0.8474009427739305,0.8518387078155012,0.3223985499561323
oracle::Utonia+PTv3_supervised,0.8494717560618827,0.909015326394942,0.9503336774889611,0.7718025354568897,0.5273797382287947,0.9215652811367777,0.7865618428749859,0.8418474706210327,0.8505528566847906,0.3896462625697785
picturewall_top2_gate::Concerto decoder->PTv3_supervised,0.7697305978233054,0.8516428150745645,0.9156403543775498,0.6638833509489163,0.3824264292301039,0.8612576437081958,0.679970803373142,0.7002382512914338,0.741939723076808,0.5067922600052063
single::Concerto decoder,0.7782479739138723,0.8743874128499683,0.9199486726337526,0.6801588611795885,0.4074827002248239,0.8730630155109568,0.6841525076648075,0.7203705201844511,0.760089216308691,0.4369414101290963
single::Concerto fullFT,0.7969183262741323,0.8778517139312345,0.9275823391364144,0.701354387358596,0.42957930493859403,0.8824085658948362,0.7061681738426236,0.7759584166436291,0.772064319737358,0.4014953577385486
single::PTv3_supervised,0.7573653105836367,0.8376434831587805,0.9125971327375165,0.6482428358114144,0.3824264292301039,0.8612576437081958,0.6949943819335641,0.6870591796395393,0.7160931394468265,0.5067922600052063
single::Sonata linear,0.7092952853680726,0.8222417917251482,0.889904265354078,0.6053924066612257,0.36074603438673125,0.8448826068266072,0.6278630999156232,0.6131846882028023,0.6535952819635454,0.47554015098196123
single::Utonia,0.7569814564721075,0.8569121558672255,0.9105096243828289,0.6554828551393589,0.37802537891631,0.8559960460579362,0.6574021294712913,0.7130917065166871,0.7461130420850418,0.48210102100828184
weakgate::Concerto decoder->PTv3_supervised,0.7636587200810937,0.8508486735543238,0.916110240239877,0.6482428358114144,0.3824264292301039,0.8722216801639184,0.6949943819335641,0.6870591796395393,0.7160931394468265,0.49584462162917825
